Hz Re(h) Im(h) h white
0.0 0.0 0.0 0j 0j
0.25 0.0 0.0 0j 0j
0.5 0.0 0.0 0j 0j
0.75 0.0 0.0 0j 0j
1.0 0.0 0.0 0j 0j
1.25 0.0 0.0 0j 0j
1.5 0.0 0.0 0j 0j
1.75 0.0 0.0 0j 0j
2.0 0.0 0.0 0j 0j
2.25 0.0 0.0 0j 0j
2.5 0.0 0.0 0j 0j
2.75 0.0 0.0 0j 0j
3.0 0.0 0.0 0j 0j
3.25 0.0 0.0 0j 0j
3.5 0.0 0.0 0j 0j
3.75 0.0 0.0 0j 0j
4.0 0.0 0.0 0j 0j
4.25 0.0 0.0 0j 0j
4.5 0.0 0.0 0j 0j
4.75 0.0 0.0 0j 0j
5.0 0.0 0.0 0j 0j
5.25 0.0 0.0 0j 0j
5.5 0.0 0.0 0j 0j
5.75 0.0 0.0 0j 0j
6.0 0.0 0.0 0j 0j
6.25 0.0 0.0 0j 0j
6.5 0.0 0.0 0j 0j
6.75 0.0 0.0 0j 0j
7.0 0.0 0.0 0j 0j
7.25 0.0 0.0 0j 0j
7.5 0.0 0.0 0j 0j
7.75 0.0 0.0 0j 0j
8.0 0.0 0.0 0j 0j
8.25 0.0 0.0 0j 0j
8.5 0.0 0.0 0j 0j
8.75 0.0 0.0 0j 0j
9.0 0.0 0.0 0j 0j
9.25 0.0 0.0 0j 0j
9.5 0.0 0.0 0j 0j
9.75 0.0 0.0 0j 0j
10.0 0.0 0.0 0j 0j
10.25 0.0 0.0 0j 0j
10.5 0.0 0.0 0j 0j
10.75 0.0 0.0 0j 0j
11.0 0.0 0.0 0j 0j
11.25 0.0 0.0 0j 0j
11.5 0.0 0.0 0j 0j
11.75 0.0 0.0 0j 0j
12.0 0.0 0.0 0j 0j
12.25 0.0 0.0 0j 0j
12.5 0.0 0.0 0j 0j
12.75 0.0 0.0 0j 0j
13.0 0.0 0.0 0j 0j
13.25 0.0 0.0 0j 0j
13.5 0.0 0.0 0j 0j
13.75 0.0 0.0 0j 0j
14.0 0.0 0.0 0j 0j
14.25 0.0 0.0 0j 0j
14.5 0.0 0.0 0j 0j
14.75 0.0 0.0 0j 0j
15.0 0.0 0.0 0j 0j
15.25 0.0 0.0 0j 0j
15.5 0.0 0.0 0j 0j
15.75 0.0 0.0 0j 0j
16.0 0.0 0.0 0j 0j
16.25 0.0 0.0 0j 0j
16.5 0.0 0.0 0j 0j
16.75 0.0 0.0 0j 0j
17.0 0.0 0.0 0j 0j
17.25 0.0 0.0 0j 0j
17.5 0.0 0.0 0j 0j
17.75 0.0 0.0 0j 0j
18.0 0.0 0.0 0j 0j
18.25 0.0 0.0 0j 0j
18.5 0.0 0.0 0j 0j
18.75 0.0 0.0 0j 0j
19.0 0.0 0.0 0j 0j
19.25 0.0 0.0 0j 0j
19.5 0.0 0.0 0j 0j
19.75 0.0 0.0 0j 0j
20.0 4.344495552274697e-23 -4.9567702974690213e-23 (4.344495552274697e-23-4.9567702974690213e-23j) -0j
20.25 -5.51108584539643e-23 -5.702299939056833e-23 (-5.51108584539643e-23-5.702299939056833e-23j) (-1.2109013795661903-1.25291513444161j)
20.5 1.5730892302799582e-23 5.627819945573648e-24 (1.5730892302799582e-23+5.627819945573648e-24j) (0.4231743500042923+0.1513931315253797j)
20.75 2.2266411307178793e-23 -4.9128816253468396e-23 (2.2266411307178793e-23-4.9128816253468396e-23j) (0.6466895676104507-1.4268618549198189j)
21.0 9.268065951202777e-24 3.818292329096572e-23 (9.268065951202777e-24+3.818292329096572e-23j) (0.282044490656518+1.161977397234611j)
21.25 4.24997659562684e-23 -8.51482462346488e-24 (4.24997659562684e-23-8.51482462346488e-24j) (1.4411762949503766-0.2887395524865806j)
21.5 4.290463743114786e-24 3.0195893654859676e-23 (4.290463743114786e-24+3.0195893654859676e-23j) (0.15434684669516388+1.0862790709394436j)
21.75 -9.90107756892901e-24 2.0106761319713388e-23 (-9.90107756892901e-24+2.0106761319713388e-23j) (-0.3848752451762042+0.781591159017774j)
22.0 4.379844979792322e-23 -1.6325877998161741e-25 (4.379844979792322e-23-1.6325877998161741e-25j) (1.7342884443277569-0.006464562487108671j)
22.25 1.5699296789836117e-25 1.328517867635011e-23 (1.5699296789836117e-25+1.328517867635011e-23j) (0.007033069679965051+0.5951577869528992j)
22.5 -1.1919094911139822e-23 2.6271343215569042e-23 (-1.1919094911139822e-23+2.6271343215569042e-23j) (-0.5575855580752087+1.228996134139985j)
