# frequency/[Hz] PSD/[Hz^-1]
0.000000000000000000e+00 inf
2.500000000000000000e-01 inf
5.000000000000000000e-01 inf
7.500000000000000000e-01 inf
1.000000000000000000e+00 inf
1.250000000000000000e+00 inf
1.500000000000000000e+00 inf
1.750000000000000000e+00 inf
2.000000000000000000e+00 inf
2.250000000000000000e+00 inf
2.500000000000000000e+00 inf
2.750000000000000000e+00 inf
3.000000000000000000e+00 inf
3.250000000000000000e+00 inf
3.500000000000000000e+00 inf
3.750000000000000000e+00 inf
4.000000000000000000e+00 inf
4.250000000000000000e+00 inf
4.500000000000000000e+00 inf
4.750000000000000000e+00 inf
5.000000000000000000e+00 inf
5.250000000000000000e+00 inf
5.500000000000000000e+00 inf
5.750000000000000000e+00 inf
6.000000000000000000e+00 inf
6.250000000000000000e+00 inf
6.500000000000000000e+00 inf
6.750000000000000000e+00 inf
7.000000000000000000e+00 inf
7.250000000000000000e+00 inf
7.500000000000000000e+00 inf
7.750000000000000000e+00 inf
8.000000000000000000e+00 inf
8.250000000000000000e+00 inf
8.500000000000000000e+00 inf
8.750000000000000000e+00 inf
9.000000000000000000e+00 inf
9.250000000000000000e+00 inf
9.500000000000000000e+00 inf
9.750000000000000000e+00 inf
1.000000000000000000e+01 inf
1.025000000000000000e+01 4.136473194735780873e-41
1.050000000000000000e+01 2.674540624289173957e-41
1.075000000000000000e+01 1.933185598530055482e-41
1.100000000000000000e+01 1.410455312089950708e-41
1.125000000000000000e+01 7.925511195548844052e-42
1.150000000000000000e+01 7.139857764942844971e-42
1.175000000000000000e+01 6.391080852233090655e-42
1.200000000000000000e+01 3.594975061216546668e-42
1.225000000000000000e+01 3.808805809320861049e-42
1.250000000000000000e+01 3.024814172071298848e-42
1.275000000000000000e+01 2.387655994122321702e-42
1.300000000000000000e+01 2.151838662695729494e-42
1.325000000000000000e+01 2.037279311656882247e-42
1.350000000000000000e+01 9.149069146708593047e-42
1.375000000000000000e+01 1.112621820398840126e-41
1.400000000000000000e+01 4.800211975741968816e-42
1.425000000000000000e+01 1.223630323577515140e-42
1.450000000000000000e+01 5.149101909630637258e-43
1.475000000000000000e+01 3.334066702252981015e-43
1.500000000000000000e+01 2.846184069154679770e-43
1.525000000000000000e+01 2.039058168823569008e-43
1.550000000000000000e+01 1.362468134261404843e-43
1.575000000000000000e+01 1.013234245326053817e-43
1.600000000000000000e+01 9.822297135794134798e-44
1.625000000000000000e+01 7.141322534609989549e-44
1.650000000000000000e+01 5.311113182186735093e-44
1.675000000000000000e+01 4.904086793563453408e-44
1.700000000000000000e+01 2.945468378615190178e-44
