Hz Re(h) Im(h) h white
0.0 0.0 0.0 0j 0j
0.25 0.0 0.0 0j 0j
0.5 0.0 0.0 0j 0j
0.75 0.0 0.0 0j 0j
1.0 0.0 0.0 0j 0j
1.25 0.0 0.0 0j 0j
1.5 0.0 0.0 0j 0j
1.75 0.0 0.0 0j 0j
2.0 0.0 0.0 0j 0j
2.25 0.0 0.0 0j 0j
2.5 0.0 0.0 0j 0j
2.75 0.0 0.0 0j 0j
3.0 0.0 0.0 0j 0j
3.25 0.0 0.0 0j 0j
3.5 0.0 0.0 0j 0j
3.75 0.0 0.0 0j 0j
4.0 0.0 0.0 0j 0j
4.25 0.0 0.0 0j 0j
4.5 0.0 0.0 0j 0j
4.75 0.0 0.0 0j 0j
5.0 0.0 0.0 0j 0j
5.25 0.0 0.0 0j 0j
5.5 0.0 0.0 0j 0j
5.75 0.0 0.0 0j 0j
6.0 0.0 0.0 0j 0j
6.25 0.0 0.0 0j 0j
6.5 0.0 0.0 0j 0j
6.75 0.0 0.0 0j 0j
7.0 0.0 0.0 0j 0j
7.25 0.0 0.0 0j 0j
7.5 0.0 0.0 0j 0j
7.75 0.0 0.0 0j 0j
8.0 0.0 0.0 0j 0j
8.25 0.0 0.0 0j 0j
8.5 0.0 0.0 0j 0j
8.75 0.0 0.0 0j 0j
9.0 0.0 0.0 0j 0j
9.25 0.0 0.0 0j 0j
9.5 0.0 0.0 0j 0j
9.75 0.0 0.0 0j 0j
10.0 0.0 0.0 0j 0j
10.25 0.0 0.0 0j 0j
10.5 0.0 0.0 0j 0j
10.75 0.0 0.0 0j 0j
11.0 0.0 0.0 0j 0j
11.25 0.0 0.0 0j 0j
11.5 0.0 0.0 0j 0j
11.75 0.0 0.0 0j 0j
12.0 0.0 0.0 0j 0j
12.25 0.0 0.0 0j 0j
12.5 0.0 0.0 0j 0j
12.75 0.0 0.0 0j 0j
13.0 0.0 0.0 0j 0j
13.25 0.0 0.0 0j 0j
13.5 0.0 0.0 0j 0j
13.75 0.0 0.0 0j 0j
14.0 0.0 0.0 0j 0j
14.25 0.0 0.0 0j 0j
14.5 0.0 0.0 0j 0j
14.75 0.0 0.0 0j 0j
15.0 0.0 0.0 0j 0j
15.25 0.0 0.0 0j 0j
15.5 0.0 0.0 0j 0j
15.75 0.0 0.0 0j 0j
16.0 0.0 0.0 0j 0j
16.25 0.0 0.0 0j 0j
16.5 0.0 0.0 0j 0j
16.75 0.0 0.0 0j 0j
17.0 0.0 0.0 0j 0j
17.25 0.0 0.0 0j 0j
17.5 0.0 0.0 0j 0j
17.75 0.0 0.0 0j 0j
18.0 0.0 0.0 0j 0j
18.25 0.0 0.0 0j 0j
18.5 0.0 0.0 0j 0j
18.75 0.0 0.0 0j 0j
19.0 0.0 0.0 0j 0j
19.25 0.0 0.0 0j 0j
19.5 0.0 0.0 0j 0j
19.75 0.0 0.0 0j 0j
20.0 -5.2039598489986155e-23 -2.088998159263039e-24 (-5.2039598489986155e-23-2.088998159263039e-24j) (-0-0j)
20.25 8.195095912332041e-23 6.113900296928112e-24 (8.195095912332041e-23+6.113900296928112e-24j) (1.8006347976251291+0.13433523831360036j)
20.5 -1.9996445167423643e-23 -3.6229967856639827e-23 (-1.9996445167423643e-23-3.6229967856639827e-23j) (-0.5379213412207404-0.9746168750822508j)
20.75 1.3147394024509172e-23 -1.3649551026178171e-24 (1.3147394024509172e-23-1.3649551026178171e-24j) (0.38184341605927696-0.039642770132203894j)
21.0 -5.911825106318107e-23 6.224368086730123e-23 (-5.911825106318107e-23+6.224368086730123e-23j) (-1.7990783727057063+1.8941910166841809j)
21.25 1.8252794022400552e-23 -3.412268832562064e-24 (1.8252794022400552e-23-3.412268832562064e-24j) (0.6189562099886281-0.11571077729102461j)
21.5 3.319962418595123e-24 2.962752098135888e-23 (3.319962418595123e-24+2.962752098135888e-23j) (0.11943364660263896+1.0658322066480652j)
21.75 3.0460268691345644e-24 6.440900469601057e-24 (3.0460268691345644e-24+6.440900469601057e-24j) (0.11840532809786702+0.2503710459932676j)
22.0 1.6667589722447855e-23 -2.6751377168742863e-24 (1.6667589722447855e-23-2.6751377168742863e-24j) (0.659987017435673-0.10592750315972146j)
22.25 -4.3792757715874704e-24 1.3802421259494838e-23 (-4.3792757715874704e-24+1.3802421259494838e-23j) (-0.19618554933809176+0.6183295453915137j)
22.5 1.2245921332072746e-23 -8.230402124862408e-24 (1.2245921332072746e-23-8.230402124862408e-24j) (0.5728747804254132-0.38502532249203547j)
