# frequency/[Hz] PSD/[Hz^-1]
0.000000000000000000e+00 inf
2.500000000000000000e-01 inf
5.000000000000000000e-01 inf
7.500000000000000000e-01 inf
1.000000000000000000e+00 inf
1.250000000000000000e+00 inf
1.500000000000000000e+00 inf
1.750000000000000000e+00 inf
2.000000000000000000e+00 inf
2.250000000000000000e+00 inf
2.500000000000000000e+00 inf
2.750000000000000000e+00 inf
3.000000000000000000e+00 inf
3.250000000000000000e+00 inf
3.500000000000000000e+00 inf
3.750000000000000000e+00 inf
4.000000000000000000e+00 inf
4.250000000000000000e+00 inf
4.500000000000000000e+00 inf
4.750000000000000000e+00 inf
5.000000000000000000e+00 inf
5.250000000000000000e+00 inf
5.500000000000000000e+00 inf
5.750000000000000000e+00 inf
6.000000000000000000e+00 inf
6.250000000000000000e+00 inf
6.500000000000000000e+00 inf
6.750000000000000000e+00 inf
7.000000000000000000e+00 inf
7.250000000000000000e+00 inf
7.500000000000000000e+00 inf
7.750000000000000000e+00 inf
8.000000000000000000e+00 inf
8.250000000000000000e+00 inf
8.500000000000000000e+00 inf
8.750000000000000000e+00 inf
9.000000000000000000e+00 inf
9.250000000000000000e+00 inf
9.500000000000000000e+00 inf
9.750000000000000000e+00 inf
1.000000000000000000e+01 1.226743867674089839e-42
1.025000000000000000e+01 1.004273510185895012e-42
1.050000000000000000e+01 8.267976237373005176e-43
1.075000000000000000e+01 6.843206602764615483e-43
1.100000000000000000e+01 5.692119193002464855e-43
1.125000000000000000e+01 4.756911352396746503e-43
1.150000000000000000e+01 3.993387197096657218e-43
1.175000000000000000e+01 3.366619523297322023e-43
1.200000000000000000e+01 2.850114589691506810e-43
1.225000000000000000e+01 2.422395968118929345e-43
1.250000000000000000e+01 2.066851474316830280e-43
1.275000000000000000e+01 1.770202608727673697e-43
1.300000000000000000e+01 1.521691378709431968e-43
1.325000000000000000e+01 1.312974794090053951e-43
1.350000000000000000e+01 1.137133101731335888e-43
1.375000000000000000e+01 9.886308913488498210e-44
1.400000000000000000e+01 8.630183658311550409e-44
1.425000000000000000e+01 7.567778887342554235e-44
1.450000000000000000e+01 6.670369722011084522e-44
1.475000000000000000e+01 5.916578499064232811e-44
1.500000000000000000e+01 5.291818136858060573e-44
1.525000000000000000e+01 4.790764761114734374e-44
1.550000000000000000e+01 4.421230828692355117e-44
1.575000000000000000e+01 4.221676726524536736e-44
1.600000000000000000e+01 4.314581112189453303e-44
1.625000000000000000e+01 5.153015414533900423e-44
1.650000000000000000e+01 9.360514363057896839e-44
1.675000000000000000e+01 8.875214932945512490e-43
1.700000000000000000e+01 3.416254275947504647e-43
