Hz Re(h) Im(h) h white
0.0 0.0 0.0 0j 0j
0.25 0.0 0.0 0j 0j
0.5 0.0 0.0 0j 0j
0.75 0.0 0.0 0j 0j
1.0 0.0 0.0 0j 0j
1.25 0.0 0.0 0j 0j
1.5 0.0 0.0 0j 0j
1.75 0.0 0.0 0j 0j
2.0 0.0 0.0 0j 0j
2.25 0.0 0.0 0j 0j
2.5 0.0 0.0 0j 0j
2.75 0.0 0.0 0j 0j
3.0 0.0 0.0 0j 0j
3.25 0.0 0.0 0j 0j
3.5 0.0 0.0 0j 0j
3.75 0.0 0.0 0j 0j
4.0 0.0 0.0 0j 0j
4.25 0.0 0.0 0j 0j
4.5 0.0 0.0 0j 0j
4.75 0.0 0.0 0j 0j
5.0 0.0 0.0 0j 0j
5.25 0.0 0.0 0j 0j
5.5 0.0 0.0 0j 0j
5.75 0.0 0.0 0j 0j
6.0 0.0 0.0 0j 0j
6.25 0.0 0.0 0j 0j
6.5 0.0 0.0 0j 0j
6.75 0.0 0.0 0j 0j
7.0 0.0 0.0 0j 0j
7.25 0.0 0.0 0j 0j
7.5 0.0 0.0 0j 0j
7.75 0.0 0.0 0j 0j
8.0 0.0 0.0 0j 0j
8.25 0.0 0.0 0j 0j
8.5 0.0 0.0 0j 0j
8.75 0.0 0.0 0j 0j
9.0 0.0 0.0 0j 0j
9.25 0.0 0.0 0j 0j
9.5 0.0 0.0 0j 0j
9.75 0.0 0.0 0j 0j
10.0 0.0 0.0 0j 0j
10.25 0.0 0.0 0j 0j
10.5 0.0 0.0 0j 0j
10.75 0.0 0.0 0j 0j
11.0 0.0 0.0 0j 0j
11.25 0.0 0.0 0j 0j
11.5 0.0 0.0 0j 0j
11.75 0.0 0.0 0j 0j
12.0 0.0 0.0 0j 0j
12.25 0.0 0.0 0j 0j
12.5 0.0 0.0 0j 0j
12.75 0.0 0.0 0j 0j
13.0 0.0 0.0 0j 0j
13.25 0.0 0.0 0j 0j
13.5 0.0 0.0 0j 0j
13.75 0.0 0.0 0j 0j
14.0 0.0 0.0 0j 0j
14.25 0.0 0.0 0j 0j
14.5 0.0 0.0 0j 0j
14.75 0.0 0.0 0j 0j
15.0 0.0 0.0 0j 0j
15.25 0.0 0.0 0j 0j
15.5 0.0 0.0 0j 0j
15.75 0.0 0.0 0j 0j
16.0 0.0 0.0 0j 0j
16.25 0.0 0.0 0j 0j
16.5 0.0 0.0 0j 0j
16.75 0.0 0.0 0j 0j
17.0 0.0 0.0 0j 0j
17.25 0.0 0.0 0j 0j
17.5 0.0 0.0 0j 0j
17.75 0.0 0.0 0j 0j
18.0 0.0 0.0 0j 0j
18.25 0.0 0.0 0j 0j
18.5 0.0 0.0 0j 0j
18.75 0.0 0.0 0j 0j
19.0 0.0 0.0 0j 0j
19.25 0.0 0.0 0j 0j
19.5 0.0 0.0 0j 0j
19.75 0.0 0.0 0j 0j
20.0 2.0517823362256545e-23 7.658788900306704e-24 (2.0517823362256545e-23+7.658788900306704e-24j) 0j
20.25 -5.995374720675074e-23 7.619338570697075e-23 (-5.995374720675074e-23+7.619338570697075e-23j) (-0.8033273631443548+1.0209242037523485j)
20.5 -2.1630346392452787e-23 -6.983752662148472e-23 (-2.1630346392452787e-23-6.983752662148472e-23j) (-0.3036353870487409-0.9803423413339377j)
20.75 6.939040316939809e-23 3.5894905089100995e-23 (6.939040316939809e-23+3.5894905089100995e-23j) (1.0192669640066319+0.5272557769142521j)
21.0 1.1845295350125482e-22 1.9446316334097659e-22 (1.1845295350125482e-22+1.9446316334097659e-22j) (1.8186853915679033+2.9857196795229815j)
21.25 5.865484760352606e-23 6.2822274741171574e-24 (5.865484760352606e-23+6.2822274741171574e-24j) (0.9403833898858054+0.10071976331908308j)
21.5 3.574676827576612e-23 -3.038377079679781e-23 (3.574676827576612e-23-3.038377079679781e-23j) (0.5978998021012014-0.5081984028975647j)
21.75 -4.015979397788588e-23 4.01982912072036e-23 (-4.015979397788588e-23+4.01982912072036e-23j) (-0.7001614005243003+0.7008325761286932j)
22.0 -1.3776541612661674e-23 -3.4290123501942356e-23 (-1.3776541612661674e-23-3.4290123501942356e-23j) (-0.25015332692270204-0.6226372855955071j)
22.25 -1.3128699708497925e-22 -2.813049026555506e-23 (-1.3128699708497925e-22-2.813049026555506e-23j) (-2.480897887888381-0.5315749117173224j)
22.5 -4.604079358470949e-23 -7.507910738239208e-24 (-4.604079358470949e-23-7.507910738239208e-24j) (-0.9047491679353088-0.14753820393770162j)
