# name ra/[rad] dec/[rad] z
MGC+JKS4M2P 0.318 -0.593 1.786
MGC+J3AOZF6 6.096 -0.97 0.308
MGC+JWTWGCE 1.692 -1.165 1.945
MGC+J1VPT3I 3.059 -0.326 0.716
MGC+JMEES3B 0.425 -1.496 0.563
MGC+JY8R633 2.918 -0.793 1.974
MGC+J4Y289O 4.389 -1.455 0.266
MGC+JF3AJGJ 5.116 1.569 0.058
MGC+JJIYZ65 2.677 -0.6 0.42
MGC+J2LSVI6 2.598 -0.14 0.606
MGC+JDLLA3E 1.418 0.332 1.976
MGC+J2N45W6 4.513 0.875 0.016
MGC+JDBJK4B 4.555 1.098 1.202
MGC+JXRF9VD 3.924 1.186 0.94
MGC+JLTRRRZ 3.276 -0.892 1.045
MGC+JP8CFC9 3.011 -1.185 0.075
MGC+JYLWHF0 0.883 1.004 0.507
MGC+JTO5OT2 4.494 1.024 0.328
MGC+JBRJJ1P 4.308 0.095 0.652
MGC+JIKHKUY 3.497 -1.259 1.6
MGC+JGRW2OF 6.13 -0.825 0.882
MGC+JMPLUBT 3.425 -0.869 0.293
MGC+J54E6TW 0.348 -1.335 1.485
MGC+JT8BDE6 0.896 -1.31 0.935
MGC+JZ7VSA7 1.379 -1.356 1.872
MGC+JG6V5D5 3.033 -0.196 0.515
MGC+JX1TN70 3.328 0.571 1.88
MGC+J7Y1VSC 2.104 -0.814 0.086
MGC+JBYHSVN 1.202 0.276 1.638
MGC+JJUCWOA 4.682 -0.644 1.667
MGC+JSYD584 1.365 -0.021 1.96
MGC+J3VCDN3 2.566 0.28 0.544
MGC+JWF74J5 3.687 1.156 1.418
MGC+JJURY4P 3.446 1.479 1.798
MGC+J4CPDRG 5.414 1.125 1.272
MGC+JHDZ1D9 0.153 1.237 1.258
MGC+JKJM0M6 5.486 0.932 0.668
MGC+J0D8AEP 2.234 0.709 0.29
MGC+J6G1ZIV 3.965 1.568 1.244
MGC+JT3280F 1.241 0.001 0.252
MGC+J0W3SRV 4.156 -1.171 1.21
MGC+JH353UF 4.335 0.602 1.786
MGC+J3UHJEY 3.997 -1.274 1.263
MGC+JPXFBTC 3.0 0.177 0.258
MGC+JH4VPNA 6.079 0.276 1.14
MGC+JOSK7ES 1.539 1.47 0.021
MGC+JARZ917 5.453 0.604 1.632
MGC+J5ZKGJW 5.082 -1.505 0.424
MGC+JV5C0AM 0.84 0.039 0.1
MGC+J2PSMA0 1.665 0.959 0.213
MGC+JGWMFDV 0.258 -0.036 0.028
MGC+J1YSV1J 0.458 -1.551 1.739
MGC+JYJF5SR 2.266 1.323 1.213
MGC+JOVJXEN 6.212 0.034 1.098
MGC+J6LGVN3 2.792 0.484 0.957
MGC+J5663LV 0.208 0.313 1.883
MGC+JYRWSTC 1.051 -0.095 1.166
MGC+J9RBSAX 5.038 0.134 1.022
MGC+JEUS0VD 4.413 0.146 0.64
MGC+JSUX93X 1.689 0.294 0.145
MGC+JYU8GUK 4.755 0.24 0.495
MGC+JSQTEC0 0.92 -1.336 0.894
MGC+JR8C95I 5.566 -0.324 1.658
MGC+JBQLCKL 1.026 -1.404 1.601
MGC+JDNBVXA 2.365 1.496 0.371
MGC+J5FPYD3 1.493 -0.655 1.914
MGC+JUZTCFB 3.265 -0.386 0.31
MGC+JKD1TF2 3.904 -1.463 0.035
MGC+J4IY5K3 2.842 1.221 1.753
MGC+J1LMOQ2 4.968 -0.343 1.831
MGC+JQF4QNG 2.306 -1.324 0.396
MGC+JF03F8R 6.009 -0.945 0.281
MGC+JU68XMK 0.884 0.442 1.049
MGC+J8RO7ZF 0.826 1.354 0.65
MGC+JBLY6OK 4.512 -1.493 1.838
MGC+JR1RRQE 1.969 1.159 0.588
MGC+JW04UZT 2.406 1.492 0.841
MGC+JD3W32Q 1.734 -0.349 1.352
MGC+JWBKYKN 5.5 0.066 0.629
MGC+JRIMS7Q 2.841 -1.262 0.285
MGC+JV54OYQ 1.972 0.504 1.132
MGC+JNQ3634 5.449 1.365 1.838
MGC+JN9WH17 1.402 0.508 0.902
MGC+J1Q5OVR 0.528 0.471 0.403
MGC+JJCIVE7 0.776 0.176 1.472
MGC+JR8RX6P 3.8 -1.348 1.249
MGC+J3HT8OU 1.596 -0.555 0.837
MGC+JC8I2ZQ 1.872 0.386 1.747
MGC+JZ8LNUW 1.347 -0.614 0.243
MGC+JQLTG7O 5.304 -0.6 0.542
MGC+JRWGPB9 5.273 -0.333 1.393
MGC+JV7OXC8 4.315 0.343 1.941
MGC+JIVCQ2G 5.293 -1.265 1.383
MGC+JHFV5P2 0.225 0.824 0.964
MGC+JCPY7WD 3.067 -0.41 0.175
MGC+J8ALCO4 3.689 -0.868 1.752
MGC+JQN07FY 2.168 1.37 0.069
MGC+JC0O3RM 3.428 1.301 1.301
MGC+JOHQZBU 5.997 0.787 1.588
MGC+J2C749O 0.812 -0.34 1.854
MGC+JB98OJJ 5.977 0.731 0.044
MGC+JFEBP9V 5.119 -1.385 0.533
MGC+J0WV0DD 4.503 0.36 1.529
MGC+J94VWF9 5.818 -1.348 1.459
MGC+JKR25SU 4.26 0.745 0.4
MGC+JJQBPV7 5.167 0.801 0.557
MGC+JBQGGDK 1.608 1.525 1.969
MGC+J50H9GT 4.578 -1.19 1.487
MGC+JO8CC4G 5.924 1.271 1.647
MGC+JQE102U 0.814 -1.222 0.899
MGC+J8V9HL1 5.244 -0.428 1.007
MGC+J76MZMV 2.829 -0.533 0.092
MGC+J84IKDB 6.122 -0.403 0.77
MGC+JSZT4IT 1.04 1.183 0.216
MGC+JRLWFLQ 2.402 -0.436 0.281
MGC+JM324Q9 3.808 0.002 1.009
MGC+JFXGM3Z 4.594 -0.233 0.038
MGC+JSZZL1F 5.741 -1.062 0.208
MGC+J5TF3S9 5.835 -0.078 1.554
MGC+J8155HL 3.076 -1.3 0.924
