# frequency/[Hz] Re(h+)/[1/Hz] Im(h+)/[1/Hz] Re(hx)/[1/Hz] Im(hx)/[1/Hz]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.025000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.075000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.125000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.150000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.175000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.225000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.275000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.325000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.350000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.375000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.425000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.450000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.475000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.775000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.825000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.850000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.875000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.925000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.950000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.975000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 2.702616370736933903e-23 0.000000000000000000e+00 0.000000000000000000e+00 2.581885646589252291e-23
2.025000000000000000e+01 1.106581580945471207e-23 2.419804657073642826e-23 -2.311707639787844364e-23 1.057148595545621799e-23
2.050000000000000000e+01 -1.633760507594423828e-23 2.048398302685826554e-23 -1.956892673879653134e-23 -1.560777493319269954e-23
2.075000000000000000e+01 -2.544721747797881080e-23 -4.282915011559586899e-24 4.091589510682979655e-24 -2.431044459858483676e-23
2.100000000000000000e+01 -9.333017194136815734e-24 -2.364374899904497292e-23 2.258754029361100172e-23 -8.916094564446811716e-24
2.125000000000000000e+01 1.450130770770941143e-23 -2.041723988039053272e-23 1.950516512847732226e-23 1.385350826432680436e-23
2.150000000000000000e+01 2.467570662536600458e-23 1.794221534359766371e-25 -1.714070438011026182e-25 2.357339852052615794e-23
2.175000000000000000e+01 1.441789413790809168e-23 1.958397211211440153e-23 -1.870912092702413478e-23 1.377382092840569505e-23
2.200000000000000000e+01 -6.256589344379749530e-24 2.313927701539357987e-23 -2.210560397893501786e-23 -5.977096268551282779e-24
2.225000000000000000e+01 -2.140986867504100239e-23 9.999859583373999111e-24 -9.553147907255987943e-24 -2.045345141322309920e-23
2.250000000000000000e+01 -2.141231697011393388e-23 -9.182313188677142914e-24 8.772122777406337089e-24 -2.045579033856073187e-23
2.275000000000000000e+01 -7.880954850688319386e-24 -2.158007696452206130e-23 2.061605619290991084e-23 -7.528898452155019481e-24
2.300000000000000000e+01 9.649945065988867370e-24 -2.050003458324957588e-23 1.958426124335325546e-23 9.218864699416344157e-24
2.325000000000000000e+01 2.087556247516279633e-23 -7.979849380131119616e-24 7.623375185463986313e-24 1.994301363030793277e-23
2.350000000000000000e+01 2.049693246168753427e-23 8.120530246569680758e-24 -7.757771585093734350e-24 1.958129769912932187e-23
2.375000000000000000e+01 9.922917416012999280e-24 1.935680078721930782e-23 -1.849209775295693080e-23 9.479642884612812254e-24
2.400000000000000000e+01 -4.780978665969081112e-24 2.092452382901413168e-23 -1.998978779260306879e-23 -4.567403767686469513e-24
2.425000000000000000e+01 -1.662222695226652107e-23 1.312929332528179782e-23 -1.254278422696076195e-23 -1.587968223943810194e-23
2.450000000000000000e+01 -2.090525213223125474e-23 2.253526093686140952e-25 -2.152857038276609493e-25 -1.997137699710583226e-23
2.475000000000000000e+01 -1.670126741529368421e-23 -1.212242915965820784e-23 1.158089849081398957e-23 -1.595519182311384645e-23
2.500000000000000000e+01 -6.460574653603802395e-24 -1.932190435591328318e-23 1.845876020787218735e-23 -6.171969187883538254e-24
2.525000000000000000e+01 5.557156162608486131e-24 -1.933261224204958886e-23 1.846898975351543475e-23 5.308908022407023299e-24
2.550000000000000000e+01 1.512381247051365095e-23 -1.287675245167200901e-23 1.230152480745519927e-23 1.444820462205642956e-23
2.575000000000000000e+01 1.943451574202023132e-23 -2.661839974890964328e-24 2.542930805534381074e-24 1.856634104123802998e-23
2.600000000000000000e+01 1.771133874274408893e-23 7.852527784088488818e-24 -7.501741273643321612e-24 1.692014145141216319e-23
2.625000000000000000e+01 1.104483755258301065e-23 1.562825393647976702e-23 -1.493011178232691257e-23 1.055144483497238910e-23
2.650000000000000000e+01 1.729301917909146000e-24 1.882587764480672845e-23 -1.798489190025822933e-23 1.652050897350050965e-24
2.675000000000000000e+01 -7.580609641224732183e-24 1.707032877945619622e-23 -1.630776655371907085e-23 -7.241970202281202222e-24
2.700000000000000000e+01 -1.461386144236622858e-23 1.127063074312401525e-23 -1.076715143842068090e-23 -1.396103402163627186e-23
2.725000000000000000e+01 -1.796108357438113996e-23 3.159676347476391546e-24 -3.018527933800828435e-24 -1.715872973315846700e-23
2.750000000000000000e+01 -1.723902190568487952e-23 -5.257708833722866072e-24 5.022837543174167776e-24 -1.646892385521552583e-23
2.775000000000000000e+01 -1.298529075615120263e-23 -1.219402567596412924e-23 1.164929666222950892e-23 -1.240521451106028459e-23
2.800000000000000000e+01 -6.377717339830835644e-24 -1.641198728314085676e-23 1.567883435368685071e-23 -6.092813259035585520e-24
2.825000000000000000e+01 1.115854328752407211e-24 -1.737017399735738774e-23 1.659421714755100815e-23 1.066007113064570277e-24
2.850000000000000000e+01 8.067536759509814249e-24 -1.519989212821309318e-23 1.452088566489272579e-23 7.707145412217681143e-24
2.875000000000000000e+01 1.333967845320008449e-23 -1.056100316396370352e-23 1.008922419691644224e-23 1.274377107359928416e-23
2.900000000000000000e+01 1.622884360090066704e-23 -4.434492847113969964e-24 4.236396092259414619e-24 1.550387202845291112e-23
2.925000000000000000e+01 1.650453833956468030e-23 2.095110518135509669e-24 -2.001518170822467571e-24 1.576725098830236211e-23
2.950000000000000000e+01 1.436241791971121098e-23 8.027652407470268755e-24 -7.669042765771290479e-24 1.372082293244871940e-23
2.975000000000000000e+01 1.032091324140014360e-23 1.258216954292521909e-23 -1.202010144598253071e-23 9.859859522125932384e-24
3.000000000000000000e+01 5.091472191437535212e-24 1.527054912790544353e-23 -1.458838628958812090e-23 4.864026990074226936e-24
3.025000000000000000e+01 -5.516040921988535945e-25 1.591393568657440956e-23 -1.520303161588091645e-23 -5.269629473382410095e-25
3.050000000000000000e+01 -5.882869444672229218e-24 1.461344367955071063e-23 -1.396063492103555353e-23 -5.620071107545349851e-24
3.075000000000000000e+01 -1.030800146662054174e-23 1.169025330609509334e-23 -1.116802870833250378e-23 -9.847524539500797645e-24
3.100000000000000000e+01 -1.341277766126409016e-23 7.610366436020258916e-24 -7.270397707643393153e-24 -1.281360480883490735e-23
3.125000000000000000e+01 -1.498044519042995259e-23 2.907243168082393208e-24 -2.777371397617138358e-24 -1.431124181570085519e-23
3.150000000000000000e+01 -1.498282282660486488e-23 -1.887731703577397956e-24 1.803403340130354048e-24 -1.431351323860026914e-23
3.175000000000000000e+01 -1.355233272416438272e-23 -6.300629837259151827e-24 6.019169393566447364e-24 -1.294692569659112057e-23
3.200000000000000000e+01 -1.094254873251378969e-23 -9.953256657884249891e-24 9.508626818094434633e-24 -1.045372544009162131e-23
3.225000000000000000e+01 -7.484185922499392214e-24 -1.258412511752653574e-23 1.202196966155638883e-23 -7.149853904140139990e-24
