Hz Re(h+) Im(h+) Re(hx) Im(hx) h+ hx
0.0 0.0 0.0 0.0 0.0 0j 0j
0.25 0.0 0.0 0.0 0.0 0j 0j
0.5 0.0 0.0 0.0 0.0 0j 0j
0.75 0.0 0.0 0.0 0.0 0j 0j
1.0 0.0 0.0 0.0 0.0 0j 0j
1.25 0.0 0.0 0.0 0.0 0j 0j
1.5 0.0 0.0 0.0 0.0 0j 0j
1.75 0.0 0.0 0.0 0.0 0j 0j
2.0 0.0 0.0 0.0 0.0 0j 0j
2.25 0.0 0.0 0.0 0.0 0j 0j
2.5 0.0 0.0 0.0 0.0 0j 0j
2.75 0.0 0.0 0.0 0.0 0j 0j
3.0 0.0 0.0 0.0 0.0 0j 0j
3.25 0.0 0.0 0.0 0.0 0j 0j
3.5 0.0 0.0 0.0 0.0 0j 0j
3.75 0.0 0.0 0.0 0.0 0j 0j
4.0 0.0 0.0 0.0 0.0 0j 0j
4.25 0.0 0.0 0.0 0.0 0j 0j
4.5 0.0 0.0 0.0 0.0 0j 0j
4.75 0.0 0.0 0.0 0.0 0j 0j
5.0 0.0 0.0 0.0 0.0 0j 0j
5.25 0.0 0.0 0.0 0.0 0j 0j
5.5 0.0 0.0 0.0 0.0 0j 0j
5.75 0.0 0.0 0.0 0.0 0j 0j
6.0 0.0 0.0 0.0 0.0 0j 0j
6.25 0.0 0.0 0.0 0.0 0j 0j
6.5 0.0 0.0 0.0 0.0 0j 0j
6.75 0.0 0.0 0.0 0.0 0j 0j
7.0 0.0 0.0 0.0 0.0 0j 0j
7.25 0.0 0.0 0.0 0.0 0j 0j
7.5 0.0 0.0 0.0 0.0 0j 0j
7.75 0.0 0.0 0.0 0.0 0j 0j
8.0 0.0 0.0 0.0 0.0 0j 0j
8.25 0.0 0.0 0.0 0.0 0j 0j
8.5 0.0 0.0 0.0 0.0 0j 0j
8.75 0.0 0.0 0.0 0.0 0j 0j
9.0 0.0 0.0 0.0 0.0 0j 0j
9.25 0.0 0.0 0.0 0.0 0j 0j
9.5 0.0 0.0 0.0 0.0 0j 0j
9.75 0.0 0.0 0.0 0.0 0j 0j
10.0 0.0 0.0 0.0 0.0 0j 0j
10.25 0.0 0.0 0.0 0.0 0j 0j
10.5 0.0 0.0 0.0 0.0 0j 0j
10.75 0.0 0.0 0.0 0.0 0j 0j
11.0 0.0 0.0 0.0 0.0 0j 0j
11.25 0.0 0.0 0.0 0.0 0j 0j
11.5 0.0 0.0 0.0 0.0 0j 0j
11.75 0.0 0.0 0.0 0.0 0j 0j
12.0 0.0 0.0 0.0 0.0 0j 0j
12.25 0.0 0.0 0.0 0.0 0j 0j
12.5 0.0 0.0 0.0 0.0 0j 0j
12.75 0.0 0.0 0.0 0.0 0j 0j
13.0 0.0 0.0 0.0 0.0 0j 0j
13.25 0.0 0.0 0.0 0.0 0j 0j
13.5 0.0 0.0 0.0 0.0 0j 0j
13.75 0.0 0.0 0.0 0.0 0j 0j
14.0 0.0 0.0 0.0 0.0 0j 0j
14.25 0.0 0.0 0.0 0.0 0j 0j
14.5 0.0 0.0 0.0 0.0 0j 0j
14.75 0.0 0.0 0.0 0.0 0j 0j
15.0 0.0 0.0 0.0 0.0 0j 0j
15.25 0.0 0.0 0.0 0.0 0j 0j
15.5 0.0 0.0 0.0 0.0 0j 0j
15.75 0.0 0.0 0.0 0.0 0j 0j
16.0 0.0 0.0 0.0 0.0 0j 0j
16.25 0.0 0.0 0.0 0.0 0j 0j
16.5 0.0 0.0 0.0 0.0 0j 0j
16.75 0.0 0.0 0.0 0.0 0j 0j
17.0 0.0 0.0 0.0 0.0 0j 0j
17.25 0.0 0.0 0.0 0.0 0j 0j
17.5 0.0 0.0 0.0 0.0 0j 0j
17.75 0.0 0.0 0.0 0.0 0j 0j
18.0 0.0 0.0 0.0 0.0 0j 0j
18.25 0.0 0.0 0.0 0.0 0j 0j
18.5 0.0 0.0 0.0 0.0 0j 0j
18.75 0.0 0.0 0.0 0.0 0j 0j
19.0 0.0 0.0 0.0 0.0 0j 0j
19.25 0.0 0.0 0.0 0.0 0j 0j
19.5 0.0 0.0 0.0 0.0 0j 0j
19.75 0.0 0.0 0.0 0.0 0j 0j
20.0 2.702616370736934e-23 0.0 0.0 2.5818856465892523e-23 (2.702616370736934e-23+0j) 2.5818856465892523e-23j
20.25 1.1065815809454712e-23 2.4198046570736428e-23 -2.3117076397878444e-23 1.0571485955456218e-23 (1.1065815809454712e-23+2.4198046570736428e-23j) (-2.3117076397878444e-23+1.0571485955456218e-23j)
20.5 -1.6337605075944238e-23 2.0483983026858266e-23 -1.956892673879653e-23 -1.56077749331927e-23 (-1.6337605075944238e-23+2.0483983026858266e-23j) (-1.956892673879653e-23-1.56077749331927e-23j)
20.75 -2.544721747797881e-23 -4.282915011559587e-24 4.09158951068298e-24 -2.4310444598584837e-23 (-2.544721747797881e-23-4.282915011559587e-24j) (4.09158951068298e-24-2.4310444598584837e-23j)
21.0 -9.333017194136816e-24 -2.3643748999044973e-23 2.2587540293611002e-23 -8.916094564446812e-24 (-9.333017194136816e-24-2.3643748999044973e-23j) (2.2587540293611002e-23-8.916094564446812e-24j)
21.25 1.450130770770941e-23 -2.0417239880390533e-23 1.9505165128477322e-23 1.3853508264326804e-23 (1.450130770770941e-23-2.0417239880390533e-23j) (1.9505165128477322e-23+1.3853508264326804e-23j)
21.5 2.4675706625366005e-23 1.7942215343597664e-25 -1.7140704380110262e-25 2.3573398520526158e-23 (2.4675706625366005e-23+1.7942215343597664e-25j) (-1.7140704380110262e-25+2.3573398520526158e-23j)
21.75 1.4417894137908092e-23 1.9583972112114402e-23 -1.8709120927024135e-23 1.3773820928405695e-23 (1.4417894137908092e-23+1.9583972112114402e-23j) (-1.8709120927024135e-23+1.3773820928405695e-23j)
